Pos    ,0,      Vel:    ,0,       Acc:     ,0
Pos    ,0,      Vel:    ,0,       Acc:     ,0
Pos    ,0,      Vel:    ,0,       Acc:     ,0
Pos    ,0,      Vel:    ,0,       Acc:     ,0
Pos    ,0,      Vel:    ,0,       Acc:     ,-4
Pos    ,0,      Vel:    ,-4,       Acc:     ,-6
Pos    ,-4,      Vel:    ,-9,       Acc:     ,-4
Pos    ,-13,      Vel:    ,-12,       Acc:     ,0
Pos    ,-25,      Vel:    ,-12,       Acc:     ,0
Pos    ,-37,      Vel:    ,0,       Acc:     ,0
Pos    ,-37,      Vel:    ,0,       Acc:     ,4
Pos    ,-36,      Vel:    ,4,       Acc:     ,4
Pos    ,-31,      Vel:    ,7,       Acc:     ,0
Pos    ,-24,      Vel:    ,7,       Acc:     ,0
Pos    ,-17,      Vel:    ,0,       Acc:     ,0
Pos    ,-17,      Vel:    ,0,       Acc:     ,0
Pos    ,-17,      Vel:    ,0,       Acc:     ,0
Pos    ,-17,      Vel:    ,0,       Acc:     ,0
Pos    ,-17,      Vel:    ,0,       Acc:     ,0
Pos    ,-17,      Vel:    ,0,       Acc:     ,0
Pos    ,-17,      Vel:    ,0,       Acc:     ,0
Pos    ,-17,      Vel:    ,0,       Acc:     ,-4
Pos    ,-17,      Vel:    ,-3,       Acc:     ,0
Pos    ,-20,      Vel:    ,-3,       Acc:     ,0
Pos    ,-23,      Vel:    ,-3,       Acc:     ,-7
Pos    ,-26,      Vel:    ,-10,       Acc:     ,-6
Pos    ,-36,      Vel:    ,-16,       Acc:     ,-5
Pos    ,-52,      Vel:    ,-21,       Acc:     ,-6
Pos    ,-73,      Vel:    ,-27,       Acc:     ,-5
Pos    ,-100,      Vel:    ,-32,       Acc:     ,-6
Pos    ,-132,      Vel:    ,-38,       Acc:     ,-6
Pos    ,-170,      Vel:    ,-43,       Acc:     ,-4
Pos    ,-213,      Vel:    ,-46,       Acc:     ,0
Pos    ,-259,      Vel:    ,-46,       Acc:     ,0
Pos    ,-305,      Vel:    ,0,       Acc:     ,0
Pos    ,-305,      Vel:    ,0,       Acc:     ,0
Pos    ,-305,      Vel:    ,0,       Acc:     ,0
Pos    ,-305,      Vel:    ,0,       Acc:     ,0
Pos    ,-305,      Vel:    ,0,       Acc:     ,-5
Pos    ,-305,      Vel:    ,-5,       Acc:     ,-7
Pos    ,-310,      Vel:    ,-12,       Acc:     ,-9
Pos    ,-322,      Vel:    ,-21,       Acc:     ,-9
Pos    ,-343,      Vel:    ,-30,       Acc:     ,-9
Pos    ,-373,      Vel:    ,-39,       Acc:     ,-10
Pos    ,-412,      Vel:    ,-49,       Acc:     ,-9
Pos    ,-461,      Vel:    ,-57,       Acc:     ,-7
Pos    ,-518,      Vel:    ,-64,       Acc:     ,-7
Pos    ,-582,      Vel:    ,-71,       Acc:     ,-6
Pos    ,-653,      Vel:    ,-76,       Acc:     ,-4
Pos    ,-729,      Vel:    ,-79,       Acc:     ,0
Pos    ,-808,      Vel:    ,-79,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,0
Pos    ,-887,      Vel:    ,0,       Acc:     ,-4
Pos    ,-887,      Vel:    ,-4,       Acc:     ,-7
Pos    ,-891,      Vel:    ,-11,       Acc:     ,-8
Pos    ,-902,      Vel:    ,-19,       Acc:     ,-9
Pos    ,-921,      Vel:    ,-28,       Acc:     ,-10
Pos    ,-949,      Vel:    ,-38,       Acc:     ,-9
Pos    ,-987,      Vel:    ,-47,       Acc:     ,-10
Pos    ,-1034,      Vel:    ,-57,       Acc:     ,-9
Pos    ,-1091,      Vel:    ,-66,       Acc:     ,-9
Pos    ,-1157,      Vel:    ,-75,       Acc:     ,-10
Pos    ,-1232,      Vel:    ,-85,       Acc:     ,-10
Pos    ,-1317,      Vel:    ,-94,       Acc:     ,-7
Pos    ,-1411,      Vel:    ,-101,       Acc:     ,-7
Pos    ,-1512,      Vel:    ,-108,       Acc:     ,-8
Pos    ,-1620,      Vel:    ,-116,       Acc:     ,-7
Pos    ,-1736,      Vel:    ,-123,       Acc:     ,-8
Pos    ,-1859,      Vel:    ,-131,       Acc:     ,-10
Pos    ,-1990,      Vel:    ,-141,       Acc:     ,-9
Pos    ,-2131,      Vel:    ,-150,       Acc:     ,-10
Pos    ,-2281,      Vel:    ,-160,       Acc:     ,-11
Pos    ,-2441,      Vel:    ,-170,       Acc:     ,-9
Pos    ,-2611,      Vel:    ,-179,       Acc:     ,-9
Pos    ,-2790,      Vel:    ,-188,       Acc:     ,-9
Pos    ,-2978,      Vel:    ,-196,       Acc:     ,-5
Pos    ,-3174,      Vel:    ,-200,       Acc:     ,0
Pos    ,-3374,      Vel:    ,-200,       Acc:     ,-4
Pos    ,-3574,      Vel:    ,-204,       Acc:     ,-4
Pos    ,-3778,      Vel:    ,-207,       Acc:     ,0
Pos    ,-3985,      Vel:    ,-207,       Acc:     ,0
Pos    ,-4192,      Vel:    ,0,       Acc:     ,0
Pos    ,-4192,      Vel:    ,0,       Acc:     ,0
Pos    ,-4192,      Vel:    ,0,       Acc:     ,-8
Pos    ,-4192,      Vel:    ,-8,       Acc:     ,-7
Pos    ,-4200,      Vel:    ,-15,       Acc:     ,-10
Pos    ,-4215,      Vel:    ,-24,       Acc:     ,0
Pos    ,-4239,      Vel:    ,-24,       Acc:     ,-9
Pos    ,-4263,      Vel:    ,-32,       Acc:     ,0
Pos    ,-4295,      Vel:    ,-32,       Acc:     ,-9
Pos    ,-4327,      Vel:    ,-40,       Acc:     ,0
Pos    ,-4367,      Vel:    ,-39,       Acc:     ,10
Pos    ,-4405,      Vel:    ,-29,       Acc:     ,8
Pos    ,-4433,      Vel:    ,-21,       Acc:     ,0
Pos    ,-4454,      Vel:    ,-21,       Acc:     ,-8
Pos    ,-4475,      Vel:    ,-28,       Acc:     ,4
Pos    ,-4502,      Vel:    ,-24,       Acc:     ,-19
Pos    ,-4526,      Vel:    ,-42,       Acc:     ,16
Pos    ,-4567,      Vel:    ,-26,       Acc:     ,0
Pos    ,-4593,      Vel:    ,-26,       Acc:     ,-17
Pos    ,-4619,      Vel:    ,-42,       Acc:     ,0
Pos    ,-4661,      Vel:    ,-41,       Acc:     ,9
Pos    ,-4701,      Vel:    ,-32,       Acc:     ,7
Pos    ,-4732,      Vel:    ,-25,       Acc:     ,-9
Pos    ,-4757,      Vel:    ,-34,       Acc:     ,-12
Pos    ,-4791,      Vel:    ,-46,       Acc:     ,-11
Pos    ,-4837,      Vel:    ,-56,       Acc:     ,-8
Pos    ,-4893,      Vel:    ,-64,       Acc:     ,-20
Pos    ,-4957,      Vel:    ,-83,       Acc:     ,-14
Pos    ,-5040,      Vel:    ,-96,       Acc:     ,-8
Pos    ,-5136,      Vel:    ,-103,       Acc:     ,-6
Pos    ,-5239,      Vel:    ,-109,       Acc:     ,-5
Pos    ,-5348,      Vel:    ,-114,       Acc:     ,-13
Pos    ,-5462,      Vel:    ,-126,       Acc:     ,-11
Pos    ,-5588,      Vel:    ,-136,       Acc:     ,-8
Pos    ,-5724,      Vel:    ,-144,       Acc:     ,-8
Pos    ,-5868,      Vel:    ,-151,       Acc:     ,0
Pos    ,-6019,      Vel:    ,-151,       Acc:     ,0
Pos    ,-6170,      Vel:    ,0,       Acc:     ,0
Pos    ,-6170,      Vel:    ,0,       Acc:     ,0
Pos    ,-6170,      Vel:    ,0,       Acc:     ,5
Pos    ,-6169,      Vel:    ,5,       Acc:     ,5
Pos    ,-6163,      Vel:    ,10,       Acc:     ,5
Pos    ,-6152,      Vel:    ,14,       Acc:     ,0
Pos    ,-6138,      Vel:    ,14,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,0
Pos    ,-6124,      Vel:    ,0,       Acc:     ,-4
Pos    ,-6124,      Vel:    ,-4,       Acc:     ,-4
Pos    ,-6128,      Vel:    ,-7,       Acc:     ,0
Pos    ,-6135,      Vel:    ,-7,       Acc:     ,-5
Pos    ,-6142,      Vel:    ,-12,       Acc:     ,-6
Pos    ,-6154,      Vel:    ,-17,       Acc:     ,-4
Pos    ,-6171,      Vel:    ,-20,       Acc:     ,0
Pos    ,-6191,      Vel:    ,-20,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,0
Pos    ,-6211,      Vel:    ,0,       Acc:     ,4
Pos    ,-6210,      Vel:    ,4,       Acc:     ,6
Pos    ,-6205,      Vel:    ,10,       Acc:     ,6
Pos    ,-6194,      Vel:    ,16,       Acc:     ,6
Pos    ,-6177,      Vel:    ,22,       Acc:     ,5
Pos    ,-6154,      Vel:    ,27,       Acc:     ,5
Pos    ,-6126,      Vel:    ,32,       Acc:     ,4
Pos    ,-6093,      Vel:    ,36,       Acc:     ,4
Pos    ,-6056,      Vel:    ,39,       Acc:     ,0
Pos    ,-6017,      Vel:    ,39,       Acc:     ,0
Pos    ,-5978,      Vel:    ,39,       Acc:     ,4
Pos    ,-5938,      Vel:    ,43,       Acc:     ,6
Pos    ,-5894,      Vel:    ,49,       Acc:     ,7
Pos    ,-5844,      Vel:    ,56,       Acc:     ,7
Pos    ,-5787,      Vel:    ,63,       Acc:     ,7
Pos    ,-5723,      Vel:    ,70,       Acc:     ,6
Pos    ,-5652,      Vel:    ,76,       Acc:     ,6
Pos    ,-5575,      Vel:    ,82,       Acc:     ,6
Pos    ,-5492,      Vel:    ,88,       Acc:     ,5
Pos    ,-5403,      Vel:    ,93,       Acc:     ,4
Pos    ,-5309,      Vel:    ,97,       Acc:     ,4
Pos    ,-5211,      Vel:    ,101,       Acc:     ,5
Pos    ,-5109,      Vel:    ,106,       Acc:     ,4
Pos    ,-5002,      Vel:    ,110,       Acc:     ,4
Pos    ,-4891,      Vel:    ,114,       Acc:     ,4
Pos    ,-4776,      Vel:    ,118,       Acc:     ,5
Pos    ,-4657,      Vel:    ,123,       Acc:     ,6
Pos    ,-4533,      Vel:    ,129,       Acc:     ,7
Pos    ,-4403,      Vel:    ,136,       Acc:     ,7
Pos    ,-4266,      Vel:    ,143,       Acc:     ,7
Pos    ,-4122,      Vel:    ,150,       Acc:     ,7
Pos    ,-3971,      Vel:    ,157,       Acc:     ,6
Pos    ,-3813,      Vel:    ,162,       Acc:     ,4
Pos    ,-3650,      Vel:    ,165,       Acc:     ,0
Pos    ,-3485,      Vel:    ,165,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,0
Pos    ,-3320,      Vel:    ,0,       Acc:     ,-4
Pos    ,-3320,      Vel:    ,-4,       Acc:     ,-7
Pos    ,-3324,      Vel:    ,-10,       Acc:     ,-4
Pos    ,-3334,      Vel:    ,-13,       Acc:     ,0
Pos    ,-3347,      Vel:    ,-13,       Acc:     ,0
Pos    ,-3360,      Vel:    ,0,       Acc:     ,0
Pos    ,-3360,      Vel:    ,0,       Acc:     ,0
Pos    ,-3360,      Vel:    ,0,       Acc:     ,0
Pos    ,-3360,      Vel:    ,0,       Acc:     ,0
Pos    ,-3360,      Vel:    ,0,       Acc:     ,-6
Pos    ,-3360,      Vel:    ,-6,       Acc:     ,-7
Pos    ,-3366,      Vel:    ,-12,       Acc:     ,-4
Pos    ,-3378,      Vel:    ,-15,       Acc:     ,0
Pos    ,-3393,      Vel:    ,-15,       Acc:     ,0
Pos    ,-3408,      Vel:    ,0,       Acc:     ,0
Pos    ,-3408,      Vel:    ,0,       Acc:     ,4
Pos    ,-3407,      Vel:    ,4,       Acc:     ,6
Pos    ,-3402,      Vel:    ,10,       Acc:     ,7
Pos    ,-3391,      Vel:    ,17,       Acc:     ,6
Pos    ,-3373,      Vel:    ,23,       Acc:     ,5
Pos    ,-3349,      Vel:    ,28,       Acc:     ,4
Pos    ,-3320,      Vel:    ,32,       Acc:     ,4
Pos    ,-3287,      Vel:    ,35,       Acc:     ,0
Pos    ,-3252,      Vel:    ,35,       Acc:     ,0
Pos    ,-3217,      Vel:    ,0,       Acc:     ,0
Pos    ,-3217,      Vel:    ,0,       Acc:     ,0
Pos    ,-3217,      Vel:    ,0,       Acc:     ,0
Pos    ,-3217,      Vel:    ,0,       Acc:     ,4
Pos    ,-3216,      Vel:    ,4,       Acc:     ,6
Pos    ,-3211,      Vel:    ,10,       Acc:     ,8
Pos    ,-3200,      Vel:    ,18,       Acc:     ,9
Pos    ,-3181,      Vel:    ,27,       Acc:     ,10
Pos    ,-3153,      Vel:    ,37,       Acc:     ,9
Pos    ,-3115,      Vel:    ,45,       Acc:     ,7
Pos    ,-3069,      Vel:    ,51,       Acc:     ,5
Pos    ,-3017,      Vel:    ,55,       Acc:     ,0
Pos    ,-2962,      Vel:    ,55,       Acc:     ,0
Pos    ,-2907,      Vel:    ,0,       Acc:     ,0
Pos    ,-2907,      Vel:    ,0,       Acc:     ,0
Pos    ,-2907,      Vel:    ,0,       Acc:     ,0
Pos    ,-2907,      Vel:    ,0,       Acc:     ,0
Pos    ,-2907,      Vel:    ,0,       Acc:     ,0
Pos    ,-2907,      Vel:    ,0,       Acc:     ,0
Pos    ,-2907,      Vel:    ,0,       Acc:     ,4
Pos    ,-2906,      Vel:    ,4,       Acc:     ,6
Pos    ,-2901,      Vel:    ,10,       Acc:     ,7
Pos    ,-2890,      Vel:    ,17,       Acc:     ,7
Pos    ,-2872,      Vel:    ,24,       Acc:     ,6
Pos    ,-2847,      Vel:    ,30,       Acc:     ,5
Pos    ,-2816,      Vel:    ,35,       Acc:     ,4
Pos    ,-2780,      Vel:    ,38,       Acc:     ,0
Pos    ,-2742,      Vel:    ,38,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,0
Pos    ,-2704,      Vel:    ,0,       Acc:     ,4
Pos    ,-2703,      Vel:    ,4,       Acc:     ,6
Pos    ,-2698,      Vel:    ,10,       Acc:     ,6
Pos    ,-2687,      Vel:    ,16,       Acc:     ,5
Pos    ,-2670,      Vel:    ,21,       Acc:     ,5
Pos    ,-2648,      Vel:    ,26,       Acc:     ,7
Pos    ,-2621,      Vel:    ,33,       Acc:     ,8
Pos    ,-2587,      Vel:    ,41,       Acc:     ,7
Pos    ,-2545,      Vel:    ,48,       Acc:     ,7
Pos    ,-2496,      Vel:    ,55,       Acc:     ,6
Pos    ,-2440,      Vel:    ,60,       Acc:     ,4
Pos    ,-2379,      Vel:    ,63,       Acc:     ,0
Pos    ,-2316,      Vel:    ,63,       Acc:     ,0
Pos    ,-2253,      Vel:    ,0,       Acc:     ,0
Pos    ,-2253,      Vel:    ,0,       Acc:     ,0
Pos    ,-2253,      Vel:    ,0,       Acc:     ,-4
Pos    ,-2253,      Vel:    ,-4,       Acc:     ,-6
Pos    ,-2257,      Vel:    ,-10,       Acc:     ,-7
Pos    ,-2267,      Vel:    ,-17,       Acc:     ,-7
Pos    ,-2284,      Vel:    ,-24,       Acc:     ,-7
Pos    ,-2308,      Vel:    ,-31,       Acc:     ,-7
Pos    ,-2339,      Vel:    ,-38,       Acc:     ,-6
Pos    ,-2377,      Vel:    ,-44,       Acc:     ,-5
Pos    ,-2421,      Vel:    ,-49,       Acc:     ,-6
Pos    ,-2470,      Vel:    ,-55,       Acc:     ,-6
Pos    ,-2525,      Vel:    ,-61,       Acc:     ,-5
Pos    ,-2586,      Vel:    ,-66,       Acc:     ,-6
Pos    ,-2652,      Vel:    ,-72,       Acc:     ,-8
Pos    ,-2724,      Vel:    ,-79,       Acc:     ,8
Pos    ,-2802,      Vel:    ,-71,       Acc:     ,-15
Pos    ,-2873,      Vel:    ,-86,       Acc:     ,-14
Pos    ,-2959,      Vel:    ,-100,       Acc:     ,-14
Pos    ,-3059,      Vel:    ,-113,       Acc:     ,-10
Pos    ,-3172,      Vel:    ,-122,       Acc:     ,-6
Pos    ,-3294,      Vel:    ,-127,       Acc:     ,0
Pos    ,-3421,      Vel:    ,-127,       Acc:     ,0
Pos    ,-3548,      Vel:    ,0,       Acc:     ,0
Pos    ,-3548,      Vel:    ,0,       Acc:     ,0
Pos    ,-3548,      Vel:    ,0,       Acc:     ,0
Pos    ,-3548,      Vel:    ,0,       Acc:     ,0
Pos    ,-3548,      Vel:    ,0,       Acc:     ,0
Pos    ,-3548,      Vel:    ,0,       Acc:     ,-5
Pos    ,-3548,      Vel:    ,-4,       Acc:     ,0
Pos    ,-3552,      Vel:    ,-4,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
Pos    ,-3556,      Vel:    ,0,       Acc:     ,0
